t1,t2,corr,coint_p,adf_p,hedge_beta,half_life,sharpe,maxdd,num_trades,cumret
AEP,ETR,0.8128647653571709,0.026289192817372634,0.00630419314954463,1.3135383955332989,15.232730906838631,-0.04694738914998948,-0.14216285443173893,217.4726091801301,-0.035385646808869686
APA,EOG,0.7643791953988575,0.0028862939722338055,0.0005128191319156033,0.46298267099742674,15.641912604172695,-0.048076922896011176,-0.24696885172664496,125.8165097057787,-0.07137017312254856
MLM,VMC,0.8694514013879664,0.013396598456849207,0.002898442979447081,2.0042005135773424,17.89466673863231,-0.07167835411220058,-0.27929913969531217,222.31083800472334,-0.060898969090789734
CFG,FITB,0.9243711051034862,0.0019354228318062894,0.00032949199562994254,1.3900359456922597,14.63895942812192,-0.07755877378703742,-0.17356899181557173,210.32316322091884,-0.03739675875919379
COF,FITB,0.8743058479987207,0.02409011958511474,0.005696088679461173,3.3648362672912095,19.95434820831707,-0.10313796534557693,-0.6870298401964727,392.83526405620887,-0.3264398827199798
NTRS,PNC,0.7938454471977785,0.03210164916024638,0.008002880822047306,0.5433394323470655,21.56314009774507,-0.10613061518223876,-0.17406721100672784,129.6405123171535,-0.05391585759072093
AME,APH,0.7763403775946778,0.04565035249677538,0.012061100354896957,4.0650418864433036,23.846982031469516,-0.10621974060705286,-0.5061496757009202,405.2033509154643,-0.2216109935009012
ARE,PLD,0.799133636769227,0.025056065081148986,0.006031941941734231,1.1813922292936565,13.90119577409375,-0.11246368072398641,-0.13808552602416302,178.87416280207987,-0.03153469651399854
FANG,OXY,0.784619486228196,0.03636647765897013,0.009215028268536889,1.2684292592433566,26.83975087252451,-0.12301478045140565,-0.27521144513265605,192.81648703568533,-0.16568279395309304
DOC,O,0.7794099711948036,0.028712714395979288,0.007128077692861064,0.47078246769346355,10.122923666822063,-0.12752111316110448,-0.2529818353397677,120.60416235086402,-0.06254387873318112
CMS,LNT,0.9159376820190595,0.007207877957579191,0.0014153726611413906,1.2697111311974343,15.197032141874205,-0.13558038700623742,-0.05163487991855398,188.38602388938705,-0.019468506086008475
COP,XOM,0.8187722381530175,0.03812555500534521,0.009665820403402019,0.8276693807013029,27.02173256860757,-0.13701061736717207,-0.13590645289147796,131.59219541049382,-0.05305530574230555
ES,WEC,0.899343000994352,0.001744647487757632,0.0002947381530082532,0.8535101165576974,14.490200777866143,-0.16987296169015162,-0.049949740615454985,155.69484979084658,-0.022686891772481177
FITB,NTRS,0.7629826732514409,0.04829682715849372,0.012904256463935997,0.3605578279601983,22.334309314477675,-0.17191279971892617,-0.31700106627052316,114.28685754865664,-0.12302732373149661
COF,NTRS,0.7635992478701363,0.02999048451742833,0.007360300981830921,1.2768788031806504,25.045367288874218,-0.1988884696430588,-0.23608606485196415,200.36533467989722,-0.08989610495958922
LNT,WEC,0.8770804093307701,0.0017765007076891279,0.00029837565380173934,0.41472448606985446,19.650070584369463,-0.20888391266092404,-0.10569268450046021,124.49575477414719,-0.04363029712620836
DTE,O,0.7750587235457077,0.014377492839058101,0.003164918893568992,1.0863210550765618,29.388195748695864,-0.2370027078229837,-0.1577466674076754,175.2509686264312,-0.07118873427176153
BRO,MMC,0.8061150884230747,0.015537286393256057,0.0034345956801564138,0.5207470774048214,33.31198493019876,-0.2460339628911673,-0.10296798101697935,130.78424865681464,-0.04577594918576966
PH,XYL,0.7747978897932831,0.017017073157614693,0.0037113425806347728,2.9290207702838034,37.890575157161,-0.26869518610363885,-0.559388608990338,290.74753700100143,-0.2825723372842016
C,USB,0.8739351402426767,0.0063110505591832695,0.0012213723927307232,1.3819865707272836,33.25931357576177,-0.28842866973306347,-0.20517267319296317,166.73905995090985,-0.11297619202140907
APA,DVN,0.7857651812225117,0.026451371831245223,0.006364636433502224,1.2291460624550037,24.68140116449346,-0.2999500216984597,-0.24507160996223776,182.78997712131033,-0.16501876790165948
FITB,PFG,0.7956924284759059,0.04631566763476833,0.01224254736928471,0.4781472972479397,25.118387520683484,-0.30132769378206425,-0.2744543960487329,124.16437296882692,-0.12525291487679446
DE,PH,0.7537585961889345,0.012899101759296564,0.0027196854702822857,0.9623619838117835,33.37059986163589,-0.34654554717294506,-0.13321083423393065,172.68785457543697,-0.09191453307474196
DTE,PEG,0.796595520634096,0.007285430856672508,0.0014484920781874307,1.9505287175973494,14.286903108821754,-0.34887080496675527,-0.2778690483483327,218.33912510220387,-0.12936100738801826
PFG,SYF,0.785099134087475,0.011011728047788305,0.0023169365562240732,1.1868326110422367,20.964389143591664,-0.3627658185264098,-0.1994790970127195,192.4412697717168,-0.10466109815389513
MMC,WTW,0.80187878592907,0.02240773884207938,0.0052377503310692885,0.5427254442034138,17.18904129027653,-0.38173723606101984,-0.0931566375797529,95.64897754061167,-0.058302250455197435
BAC,SYF,0.7702399797733281,0.008887439311678154,0.0018045105474084745,0.4835429001092759,21.392951819434018,-0.38206459986526187,-0.30871967388878996,136.4859468100534,-0.10747028546138282
CMS,D,0.7937578964025689,0.015007165432444411,0.003070275135025135,1.0361387827380213,17.653427639302997,-0.3963699704661427,-0.19985503045389863,138.45743722618545,-0.07959939266317606
D,LNT,0.7886575629233906,0.038786774119528585,0.009725054191399268,1.0449726265138333,16.641427662197653,-0.4016582008847298,-0.22143611443229738,171.777700627162,-0.08821602966632536
CVX,XOM,0.8412439567468831,0.016092281099844286,0.003571906348145836,0.9513741039362035,17.33984313000656,-0.4034569077605617,-0.20341456748682374,175.62366935425834,-0.14032579125500455
COF,RJF,0.7567831594250235,0.0009150702063858693,0.00014465632460596855,1.8733618414020805,19.347832863690847,-0.40658533286137266,-0.30421428338327294,206.8820525809498,-0.21195795043689025
FITB,SYF,0.8149551681784521,0.044021812533813785,0.011550535441219069,0.6301673861715367,23.78389805159541,-0.42033134280492146,-0.23951885861814814,127.15305612137985,-0.14690123539608124
NTRS,TFC,0.7784314724568506,0.02196830511819097,0.005112704162113285,1.515033230438405,22.402617574441937,-0.47164308078547085,-0.3196469863250406,176.05232613068836,-0.20761376310806945
GOOG,GOOGL,0.9964048320080655,0.03473490779809082,0.00874486217393064,1.0185397962738427,7.60076968819459,-0.5197430665147565,-0.01832671251268181,149.37194492426437,-0.015725491056751473
BAC,COF,0.841693589779724,0.024912628646769755,0.0059183954009281396,0.2083871477254985,21.27689249073212,-0.5783394407305967,-0.30638313916937543,84.5871003407849,-0.1571475610083125
COF,TFC,0.8441911406412559,0.0023628575839881624,0.0004105989784161054,2.384703904165411,16.881603333552427,-0.6369436980656238,-0.5586867583762879,291.08453575822534,-0.4220565184916155
ATO,EVRG,0.7995625592851947,0.0018765565667389875,0.00031840357104177775,1.7688253576923891,16.44404193584387,-0.6814544189900146,-0.3430775552234723,215.96837790000635,-0.3111543703614915
KLAC,TER,0.7594238186235543,0.002315516660043119,0.0004019338895135574,2.0268953518345216,14.226200069836903,-0.6854810984581148,-0.5302053953186746,266.3667909614379,-0.37170629253921716
MCHP,TXN,0.8194322894919926,0.019388368840900175,0.004424816728831086,0.40228367342629234,29.414955737333912,-0.6871308320353419,-0.4002476577415228,143.0329346894818,-0.3395259704152388
DVN,EOG,0.8449346715040706,0.04115451378929998,0.010415408778175261,0.3640980900096623,27.402261787341907,-0.7117791954360598,-0.4697915930582057,98.21506248069568,-0.375217680850918
LUV,UAL,0.7687046966419103,0.03923182868405111,0.01004279589747979,0.31059391969588673,32.29687011636192,-0.7183109760809813,-0.29493168929001856,102.22632573627916,-0.20764993905716855
AMP,ETN,0.7794399726820733,0.023462340499175692,0.0053996973693429704,1.3612813468242448,28.462134800348828,-0.8371969597373067,-0.31915891313227673,198.34763313323657,-0.24218431568716603
MET,SYF,0.768601886892439,0.00212963544395095,0.00036625260946638173,0.7754979659147445,16.48899747381363,-0.8526298084641758,-0.23121553980062837,142.03983727317956,-0.22411467729331003
PFG,TFC,0.8174144584392788,0.01003202055434916,0.0020698745023044096,1.1137235482811487,27.491434675721646,-0.8679263699057806,-0.2069937949926154,160.6429896693673,-0.2011212213347131
APA,OXY,0.7707482741115933,0.040447590985556295,0.010445456040595626,0.4662482974000512,24.05919409977733,-1.1204960551886298,-0.6557749650117837,129.0298501712045,-0.602774481401593
